PFE_Close,JNJ_Close,MRK_Close,NVS_Close
34.573055,139.229996,53.645039,75.878136
34.829224,140.559998,53.568703,76.469536
34.905125,140.550003,54.437023,76.541222
34.971539,141.710007,54.379772,77.302864
34.582542,141.889999,54.064884,77.258064
34.544594,144.139999,54.198475,77.392471
34.601517,143.970001,54.675571,76.935486
34.686909,144.789993,54.96183,76.765236
34.667931,145.759995,55.973282,77.643372
34.724857,146.860001,59.2271,77.715057
35.275143,146.979996,59.188931,77.849464
35.094875,146.919998,58.330154,77.428314
35.04744,147.360001,58.473282,77.903229
35.037952,148.139999,58.444656,77.956985
34.933586,141.830002,58.874046,78.145164
35.037952,142.070007,58.377865,81.935486
35.322582,144.399994,58.492367,83.915771
37.011387,145.330002,59.198475,84.148743
37.020874,143.679993,58.807251,83.315414
35.863377,142.429993,57.872135,82.150536
35.142315,138.190002,56.536259,80.698921
34.943073,140.020004,57.11832,81.137993
34.734344,137.679993,55.877865,79.202507
32.893738,130.389999,53.816795,76.012543
33.472485,131.830002,52.919846,77.267029
33.187855,131.419998,53.32061,76.003586
31.907021,126.360001,52.223282,73.960571
32.409866,129.529999,52.356869,74.596771
32.884251,130.270004,52.89122,75.277779
33.149906,129.960007,52.385494,74.910393
33.387096,129.669998,52.385494,76.630821
33.880455,131.229996,53.425571,77.67025
34.402279,133.149994,53.71183,77.876343
34.165085,130.869995,52.46183,76.496414
33.927895,129.910004,52.051525,76.066307
33.908916,129.910004,52.07061,76.344086
34.402279,132.020004,52.356869,76.460571
35.189754,132.070007,53.492367,77.087814
34.914612,131.669998,52.213741,75.76165
34.449715,129.880005,51.736641,74.686378
33.804554,127.279999,51.240459,73.835129
34.108158,128.820007,51.870228,74.417564
34.269451,129.789993,51.908398,75.528671
34.041744,128.220001,51.812977,73.055557
34.089184,129.039993,51.975189,73.324371
34.629982,132.059998,52.251907,73.799286
34.886147,133.800003,52.614506,74.157707
34.734344,132.630005,52.824429,74.292114
34.867172,134.350006,52.833969,73.709679
34.487667,132.320007,52.290077,73.691757
34.705883,133.059998,52.719467,73.30645
34.895638,133.679993,53.120228,73.530464
34.468693,130.240005,52.127865,72.786736
34.468693,131.210007,52.137405,72.885307
34.411766,131.190002,52.185116,72.652328
33.776093,127.379997,51.64122,71.577065
32.722961,125.099998,50.963741,70.394264
33.244781,127.389999,51.564884,71.39785
33.21632,127.209999,51.28817,71.191757
33.491463,127.449997,52.566795,72.804657
33.671726,128.149994,51.975189,72.446236
33.254269,124.559998,50.830154,71.317207
33.851994,128.350006,51.612595,71.792114
34.278938,130.410004,52.041985,72.482079
33.899429,130.710007,52.032444,72.634407
33.368122,128.100006,50.916031,71.8638
33.643265,129.479996,53.587788,72.643372
34.108158,130.25,53.902672,73.360214
33.956356,129.630005,53.625954,72.5
34.459202,130.429993,54.14122,72.974907
34.459202,130.619995,54.551525,72.616486
34.658443,131.759995,55.963741,72.732971
34.468693,130.539993,56.555344,73.279572
34.620495,127.720001,56.221375,73.207886
34.658443,127.550003,55.954197,70.788528
34.753323,126.660004,56.135494,69.784943
34.914612,126.830002,57.490459,69.53405
35.161289,126.190002,57.337788,68.987457
34.800758,126.760002,56.898853,68.4767
34.962048,128.009995,56.688931,69.184586
35.104362,128.270004,56.746181,69.23835
34.734344,126.489998,56.173664,68.718636
33.586338,126.010002,55.324429,68.351257
33.102467,123.5,54.675571,67.912186
32.979126,123.029999,54.895039,68.3871
33.055027,124.190002,55.104961,68.718636
33.140415,123.589996,54.751907,69.077065
33.187855,122.610001,54.160305,69.121864
33.368122,123.510002,55.295803,69.077065
33.244781,125.349998,55.400764,68.94265
33.681213,127.239998,56.956108,69.48925
34.02277,126.059998,56.946564,70.188171
33.861481,125.129997,56.488548,69.399643
33.851994,125.349998,57.013359,69.53405
33.880455,123.849998,56.364506,69.130821
33.814041,124.239998,56.431297,69.050179
33.965843,123.720001,55.887405,68.808243
33.889942,122.910004,55.7729,68.85305
34.127136,123.449997,56.459923,68.485664
34.051231,122.25,56.421757,68.252686
33.851994,121.470001,56.383587,68.189964
33.870968,119.400002,55.725189,67.168457
34.203037,120.970001,56.984734,67.858421
34.089184,119.620003,56.803436,66.774193
34.392788,121.260002,57.786259,67.741936
34.582542,121.949997,59.17939,67.885307
34.573055,121.480003,58.578243,67.114693
34.516129,122.790001,59.09351,67.392471
34.620495,123.330002,59.150764,67.643372
34.791271,124.059998,59.713741,67.392471
34.440228,122.660004,59.475189,67.92115
34.440228,122.540001,59.580154,67.956985
34.364326,122.629997,59.723282,67.912186
34.3074,122.410004,58.740459,68.082436
34.497154,122.610001,59.188931,67.912186
34.3074,121.32,58.196564,66.388885
34.364326,122.57,58.234734,65.922935
34.59203,122.040001,58.473282,66.514336
34.440228,121.449997,58.377865,66.290321
34.639469,122.839996,58.654579,67.258064
34.516129,122.589996,58.282444,66.335129
34.516129,122.349998,57.938931,65.985664
34.354839,121.610001,57.137405,64.910393
34.497154,122,57.53817,65.412186
34.421253,121.339996,57.919846,67.688171
34.468693,121.580002,57.690842,66.944443
34.487667,122.709999,57.92939,67.616486
34.981026,125,58.816795,68.960571
35.208729,125.75,59.351147,69.148743
35.256168,126.050003,59.17939,69.444443
35.512333,127.379997,59.446564,69.256271
35.303604,126.239998,59.064884,68.413979
35.597721,127.760002,59.790077,70.734764
35.607212,125.93,60.009541,70.5914
35.464897,124.690002,59.723282,70.42115
35.721062,129.110001,59.666031,70.519714
35.730549,127.800003,60.057251,72.5448
35.445919,125.940002,59.646946,72.401436
35.417458,125.849998,59.65649,73.718636
35.303604,126.629997,59.818703,73.691757
35.768501,129.360001,60.515266,73.933693
36.043644,128.619995,61.536259,74.318993
36.204933,130.279999,61.078243,74.596771
36.442123,131.550003,60.582062,74.811829
36.612904,132.169998,61.841602,75.071686
37.884251,132.520004,62.853054,75.179214
38.206833,132.639999,62.490459,74.991035
37.618595,131.25,62.232822,75.331543
38.462997,131.949997,62.910305,74.668457
38.937382,132.020004,63.187023,74.802864
38.747627,131.460007,63.530533,74.901436
39.288425,131.169998,63.635494,74.856628
38.899429,131.199997,62.9771,74.641579
38.833015,130.75,63.043892,73.566307
38.719166,130.220001,63.664124,73.870972
