Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,75.367386,75.878136,75.295700,75.878136,63.137882,1178496
2018-01-03,75.743729,76.702507,75.716843,76.469536,63.629971,1288868
2018-01-04,76.630821,76.639786,76.308243,76.541222,63.689632,931190
2018-01-05,76.845879,77.356628,76.747314,77.302864,64.323380,842468
2018-01-08,77.302864,77.401436,76.962364,77.258064,64.286110,1204834
2018-01-09,77.141579,77.482079,76.944443,77.392471,64.397942,1488186
2018-01-10,77.213264,77.213264,76.747314,76.935486,64.017693,889117
2018-01-11,76.505379,76.953407,76.487457,76.765236,63.876026,1017122
2018-01-12,76.944443,77.732971,76.908600,77.643372,64.606728,1134414
2018-01-16,77.795700,78.216843,77.643372,77.715057,64.666367,1350583
2018-01-17,77.741936,78.172043,77.455200,77.849464,64.778206,1317215
2018-01-18,77.338707,77.688171,77.258064,77.428314,64.427773,1700449
2018-01-19,77.930107,78.028671,77.347672,77.903229,64.822952,859766
2018-01-22,77.311829,77.965950,77.311829,77.956985,64.867683,1865282
2018-01-23,78.324371,78.611115,77.768814,78.145164,65.024261,2731187
2018-01-24,81.272400,81.989250,81.209679,81.935486,68.178177,4312670
2018-01-25,83.413979,84.184586,83.413979,83.915771,69.825958,3168994
2018-01-26,84.345879,84.399643,83.906807,84.148743,70.019821,2169839
2018-01-29,83.243729,83.494621,83.001793,83.315414,69.326416,1715404
2018-01-30,82.544800,82.634407,82.007172,82.150536,68.357124,1561730
2018-01-31,82.034050,82.123657,80.600357,80.698921,67.149246,1605478
2018-02-01,80.609322,81.227600,80.537636,81.137993,67.514587,1724555
2018-02-02,79.650536,79.856628,79.193550,79.202507,65.904083,1620097
2018-02-05,78.279572,78.351257,75.725807,76.012543,63.249714,2707751
2018-02-06,76.146950,77.374550,75.394264,77.267029,64.293571,3939815
2018-02-07,76.057350,76.568100,75.663078,76.003586,63.242268,3771968
2018-02-08,75.492828,75.860214,73.951614,73.960571,61.542282,3227360
2018-02-09,74.632614,74.973122,73.037636,74.596771,62.071659,3905442
2018-02-12,75.089607,75.734764,74.946236,75.277779,62.638321,1471892
2018-02-13,75.215057,75.483871,74.838707,74.910393,62.332619,2307107
2018-02-14,75.152328,76.720428,75.053764,76.630821,63.764187,1947420
2018-02-15,77.275986,77.724014,76.953407,77.670250,64.629089,1121915
2018-02-16,77.643372,78.467743,77.616486,77.876343,64.800583,1096916
2018-02-20,76.810036,77.213264,76.397850,76.496414,63.652348,1523117
2018-02-21,76.666664,77.141579,76.066307,76.066307,63.294449,1012100
2018-02-22,76.684586,76.774193,76.075272,76.344086,63.525593,1104728
2018-02-23,75.851257,76.505379,75.672043,76.460571,63.622517,1260857
2018-02-26,76.335129,77.284943,76.308243,77.087814,64.144447,2057904
2018-02-27,76.406807,76.460571,75.734764,75.761650,63.040951,1656032
2018-02-28,75.770607,75.940857,74.650536,74.686378,62.146221,1540192
2018-03-01,74.417564,74.811829,73.369179,73.835129,61.437904,1062320
2018-03-02,74.229393,74.534050,73.763443,74.417564,61.922539,2310678
2018-03-05,74.274193,75.681007,74.256271,75.528671,62.847092,2303647
2018-03-06,73.163078,73.396057,72.428314,73.055557,63.014816,2589566
2018-03-07,73.019714,73.485664,72.822578,73.324371,63.246685,2070850
2018-03-08,73.252686,73.879929,73.207886,73.799286,63.656319,2964096
2018-03-09,73.682793,74.238350,73.548386,74.157707,63.965488,2669695
2018-03-12,74.202507,74.498207,74.139786,74.292114,64.081413,1154837
2018-03-13,74.498207,74.605736,73.548386,73.709679,63.579037,1678910
2018-03-14,74.229393,74.435486,73.575272,73.691757,63.563572,1768748
2018-03-15,73.584229,73.969536,73.306450,73.306450,63.231220,1110308
2018-03-16,73.324371,73.781364,73.306450,73.530464,63.424458,2225862
2018-03-19,73.431900,73.440857,72.392471,72.786736,62.782932,1642082
2018-03-20,72.132614,73.001793,72.105736,72.885307,62.867962,1393103
2018-03-21,72.813622,73.207886,72.562721,72.652328,62.667007,1877335
2018-03-22,72.589607,72.759857,71.559143,71.577065,61.739521,1929899
2018-03-23,71.630821,71.854836,70.376343,70.394264,60.719292,2756408
2018-03-26,71.980286,72.025093,70.501793,71.397850,61.584942,1314648
2018-03-27,71.935486,72.195343,70.949821,71.191757,61.407169,1710270
2018-03-28,72.141579,73.494621,71.881721,72.804657,62.798393,1767186
2018-03-29,72.240143,72.858421,72.105736,72.446236,62.489235,1706029
2018-04-02,72.141579,72.562721,70.940857,71.317207,61.515385,1417766
2018-04-03,72.007172,72.043015,71.191757,71.792114,61.925018,1874992
2018-04-04,71.541222,72.562721,71.406807,72.482079,62.520153,2481314
2018-04-05,72.724014,73.100357,72.500000,72.634407,62.651539,1210302
2018-04-06,72.741936,73.100357,71.487457,71.863800,61.986843,1715180
2018-04-09,72.428314,73.234764,72.240143,72.643372,62.659279,2831515
2018-04-10,73.637993,73.853050,73.145164,73.360214,63.277596,1285074
2018-04-11,72.652328,73.073479,72.455200,72.500000,62.535610,1124035
2018-04-12,72.939072,73.252686,72.903229,72.974907,62.945251,1187647
2018-04-13,72.715057,72.822578,72.311829,72.616486,62.636093,1157292
2018-04-16,72.670250,73.028671,72.213264,72.732971,62.736561,1732813
2018-04-17,72.759857,73.449821,72.697136,73.279572,63.208035,3458930
2018-04-18,73.288528,73.351257,72.813622,73.207886,63.146210,4898570
2018-04-19,71.469536,71.523300,70.618279,70.788528,61.059361,6621228
2018-04-20,70.026878,70.107529,69.632614,69.784943,60.193707,3264523
2018-04-23,69.767029,69.847672,69.453407,69.534050,59.977306,1317773
2018-04-24,69.507172,69.560928,68.691757,68.987457,59.505836,1753459
2018-04-25,68.315414,68.602150,67.858421,68.476700,59.065269,1444550
2018-04-26,68.996414,69.327957,68.942650,69.184586,59.675869,1145016
2018-04-27,68.951614,69.399643,68.781364,69.238350,59.722240,1310854
2018-04-30,69.363800,69.569893,68.682793,68.718636,59.273956,1143788
2018-05-01,68.440857,68.494621,68.010750,68.351257,58.957073,1638623
2018-05-02,68.646950,68.700714,67.885307,67.912186,58.578350,1796202
2018-05-03,68.575272,68.637993,68.010750,68.387100,58.987988,2058462
2018-05-04,68.252686,68.879929,68.163078,68.718636,59.273956,1021475
2018-05-07,69.130821,69.417564,68.951614,69.077065,59.583122,1176264
2018-05-08,69.372757,69.507172,68.897850,69.121864,59.621769,1325473
2018-05-09,68.826164,69.507172,68.718636,69.077065,59.583122,1270008
2018-05-10,69.157707,69.507172,68.557350,68.942650,59.467186,1799662
2018-05-11,69.345879,69.623657,69.077065,69.489250,59.938660,3046345
2018-05-14,70.206093,70.403229,70.026878,70.188171,60.541523,1845194
2018-05-15,69.758064,69.793907,69.345879,69.399643,59.861362,2588116
2018-05-16,69.811829,69.937279,69.489250,69.534050,59.977306,1480820
2018-05-17,69.193550,69.372757,68.969536,69.130821,59.629490,2342038
