,PFE_Open,PFE_High,PFE_Low,PFE_Close,JNJ_Open,JNJ_High,JNJ_Low,JNJ_Close,ABBV_Open,ABBV_High,ABBV_Low,ABBV_Close,MRK_Open,MRK_High,MRK_Low,MRK_Close,NVS_Open,NVS_High,NVS_Low,NVS_Close
26,33.206833,33.368122,31.878557,31.907021,130.910004,131.25,126.110001,126.360001,113.330002,114.0,108.32,108.480003,53.473282,53.874046,52.204197,52.223282,75.492828,75.860214,73.951614,73.960571
27,32.438332,32.666035,31.49905,32.409866,127.519997,130.919998,125.440002,129.529999,109.57,112.75,106.410004,111.300003,52.624046,52.872135,50.916031,52.356869,74.632614,74.973122,73.037636,74.596771
28,32.685009,33.083492,32.28653,32.884251,130.0,131.320007,127.68,130.270004,112.57,113.330002,110.650002,111.93,52.814884,53.330154,52.442749,52.89122,75.089607,75.734764,74.946236,75.277779
29,32.798862,33.235294,32.64706,33.149906,129.210007,130.600006,128.699997,129.960007,111.540001,112.410004,110.389999,111.860001,52.700382,52.833969,52.261452,52.385494,75.215057,75.483871,74.838707,74.910393
30,32.922199,33.529411,32.789375,33.387096,129.440002,130.009995,128.389999,129.669998,111.040001,113.669998,110.279999,113.080002,51.822517,52.576336,51.736641,52.385494,75.152328,76.720428,75.053764,76.630821
31,33.557877,33.899429,33.28273,33.880455,130.100006,131.279999,129.399994,131.229996,113.620003,116.330002,112.379997,114.900002,52.89122,53.425571,52.318703,53.425571,77.275986,77.724014,76.953407,77.67025
32,33.927895,34.781784,33.851994,34.402279,130.960007,134.449997,130.839996,133.149994,115.230003,119.199997,115.199997,118.599998,53.40649,54.379772,53.35878,53.71183,77.643372,78.467743,77.616486,77.876343
33,34.174572,34.620495,34.041744,34.165085,132.869995,133.449997,130.660004,130.869995,117.720001,121.550003,117.220001,117.980003,53.549618,53.568703,52.433205,52.46183,76.810036,77.213264,76.39785,76.496414
34,34.127136,34.71537,33.899429,33.927895,130.800003,132.429993,129.860001,129.910004,118.489998,121.300003,117.849998,117.910004,52.509541,52.900764,52.051525,52.051525,76.666664,77.141579,76.066307,76.066307
35,34.032257,34.297913,33.78558,33.908916,130.100006,131.020004,129.479996,129.910004,118.57,119.730003,116.580002,117.559998,52.099236,52.54771,51.927483,52.07061,76.684586,76.774193,76.075272,76.344086
36,34.089184,34.440228,33.994308,34.402279,130.089996,132.080002,130.020004,132.020004,118.410004,119.309998,116.889999,118.75,52.309158,52.480915,52.07061,52.356869,75.851257,76.505379,75.672043,76.460571
37,34.43074,35.303604,34.354839,35.189754,131.710007,133.410004,131.0,132.070007,119.269997,121.720001,119.040001,121.540001,52.480915,53.616413,52.480915,53.492367,76.335129,77.284943,76.308243,77.087814
38,35.170776,35.332069,34.857685,34.914612,132.210007,133.089996,131.600006,131.669998,121.209999,122.0,118.160004,118.260002,53.349236,53.396946,52.194656,52.213741,76.406807,76.460571,75.734764,75.76165
39,35.132828,35.370018,34.449715,34.449715,131.949997,132.330002,129.869995,129.880005,119.0,120.0,115.779999,115.830002,52.53817,52.643131,51.7271,51.736641,75.770607,75.940857,74.650536,74.686378
40,34.269451,34.411766,33.396584,33.804554,129.110001,130.119995,126.519997,127.279999,115.910004,116.610001,111.809998,113.839996,51.774811,52.299618,50.973282,51.240459,74.417564,74.811829,73.369179,73.835129
41,33.728653,34.222012,33.586338,34.108158,126.910004,129.110001,126.910004,128.820007,112.940002,115.470001,111.889999,115.040001,51.030533,51.937023,50.687023,51.870228,74.229393,74.53405,73.763443,74.417564
42,33.984821,34.421253,33.937382,34.269451,128.630005,130.300003,128.179993,129.789993,114.0,116.32,112.889999,115.660004,51.755726,52.204197,51.603054,51.908398,74.274193,75.681007,74.256271,75.528671
43,34.383301,34.383301,33.918407,34.041744,130.0,130.199997,127.919998,128.220001,116.010002,116.300003,113.830002,114.559998,51.994274,52.204197,51.354961,51.812977,73.163078,73.396057,72.428314,73.055557
44,33.776093,34.231499,33.728653,34.089184,127.480003,129.330002,127.269997,129.039993,112.580002,114.989998,112.209999,114.720001,51.374046,52.080154,51.28817,51.975189,73.019714,73.485664,72.822578,73.324371
45,34.146111,34.629982,34.089184,34.629982,129.330002,132.300003,129.330002,132.059998,115.0,117.75,114.349998,117.010002,52.0229,52.309158,51.870228,52.251907,73.252686,73.879929,73.207886,73.799286
46,34.734344,35.028461,34.658443,34.886147,132.509995,133.820007,131.559998,133.800003,117.849998,119.660004,117.669998,119.290001,52.509541,52.662212,52.194656,52.614506,73.682793,74.23835,73.548386,74.157707
47,35.028461,35.104362,34.629982,34.734344,133.800003,134.229996,132.320007,132.630005,119.400002,119.589996,117.93,118.300003,53.177483,53.559158,52.709923,52.824429,74.202507,74.498207,74.139786,74.292114
48,34.914612,35.066414,34.563568,34.867172,133.800003,135.389999,133.449997,134.350006,119.260002,121.449997,118.730003,119.75,53.187023,53.196564,52.480915,52.833969,74.498207,74.605736,73.548386,73.709679
49,34.95256,35.094875,34.326378,34.487667,135.240005,135.699997,131.899994,132.320007,120.339996,120.669998,117.949997,118.940002,52.738548,52.89122,51.822517,52.290077,74.229393,74.435486,73.575272,73.691757
50,34.487667,34.924099,34.487667,34.705883,132.550003,134.240005,132.470001,133.059998,119.0,119.5,114.879997,114.93,52.433205,53.177483,52.375954,52.719467,73.584229,73.969536,73.30645,73.30645
51,34.76281,35.142315,34.743832,34.895638,133.160004,134.399994,132.100006,133.679993,114.889999,116.730003,113.589996,113.709999,52.662212,53.291985,52.557251,53.120228,73.324371,73.781364,73.30645,73.530464
52,34.914612,34.914612,34.231499,34.468693,133.350006,133.470001,129.360001,130.240005,113.739998,114.980003,110.440002,112.029999,53.110687,53.129772,51.755726,52.127865,73.4319,73.440857,72.392471,72.786736
53,34.506641,34.677418,34.269451,34.468693,130.779999,131.779999,129.380005,131.210007,112.900002,114.150002,112.089996,112.650002,52.242367,52.423664,51.870228,52.137405,72.132614,73.001793,72.105736,72.885307
54,34.620495,34.848198,34.345352,34.411766,131.399994,132.779999,130.660004,131.190002,113.080002,113.790001,111.730003,112.449997,52.251907,52.748093,51.927483,52.185116,72.813622,73.207886,72.562721,72.652328
55,34.184059,34.288425,33.652752,33.776093,130.470001,130.679993,127.099998,127.379997,104.190002,104.5,95.519997,98.099998,51.755726,52.46183,51.555344,51.64122,72.589607,72.759857,71.559143,71.577065
56,33.671726,33.681213,32.675522,32.722961,127.629997,127.800003,124.900002,125.099998,98.989998,100.32,97.370003,97.459999,51.832062,52.204197,50.896946,50.963741,71.630821,71.854836,70.376343,70.394264
57,33.140415,33.349148,32.561668,33.244781,126.410004,127.540001,125.209999,127.389999,99.489998,99.910004,91.760002,95.279999,51.574429,51.67939,50.543892,51.564884,71.980286,72.025093,70.501793,71.39785
58,33.377609,33.73814,32.9981,33.21632,127.110001,129.100006,126.389999,127.209999,95.5,95.720001,91.120003,92.010002,51.517178,52.061069,51.020992,51.28817,71.935486,72.195343,70.949821,71.191757
59,33.377609,33.97533,33.320683,33.491463,127.629997,129.020004,127.209999,127.449997,92.190002,96.849998,91.580002,94.269997,51.574429,52.805344,51.545803,52.566795,72.141579,73.494621,71.881721,72.804657
60,33.700191,33.842506,33.273247,33.671726,127.970001,128.759995,126.82,128.149994,94.519997,95.540001,93.5,94.650002,52.824429,52.872135,51.975189,51.975189,72.240143,72.858421,72.105736,72.446236
61,33.605312,33.908916,32.979126,33.254269,127.82,127.879997,123.540001,124.559998,94.0,94.639999,90.300003,91.459999,51.908398,52.146946,50.534351,50.830154,72.141579,72.562721,70.940857,71.317207
62,33.311195,33.908916,33.130932,33.851994,125.18,128.490005,124.68,128.350006,92.339996,92.459999,88.220001,90.589996,50.896946,51.669846,50.410305,51.612595,72.007172,72.043015,71.191757,71.792114
63,33.510437,34.373814,33.434536,34.278938,126.900002,131.119995,126.389999,130.410004,88.709999,93.410004,88.629997,92.940002,51.020992,52.185116,50.954197,52.041985,71.541222,72.562721,71.406807,72.482079
64,33.842506,34.155598,33.709679,33.899429,130.410004,131.199997,129.5,130.710007,93.07,93.269997,91.650002,92.209999,52.53817,52.84351,51.946564,52.032444,72.724014,73.100357,72.5,72.634407
65,33.73814,34.032257,33.102467,33.368122,130.220001,130.639999,126.410004,128.100006,91.449997,92.769997,88.790001,89.779999,51.793892,52.080154,50.4771,50.916031,72.741936,73.100357,71.487457,71.8638
66,33.491463,34.089184,33.415562,33.643265,128.649994,131.139999,127.68,129.479996,91.389999,93.379997,90.419998,90.480003,52.480915,54.790077,52.061069,53.587788,72.428314,73.234764,72.240143,72.643372
67,34.155598,34.250473,33.889942,34.108158,130.25,130.910004,129.289993,130.25,91.5,94.389999,90.93,93.620003,54.083969,54.188931,53.473282,53.902672,73.637993,73.85305,73.145164,73.360214
68,33.899429,34.222012,33.766602,33.956356,129.139999,130.350006,129.029999,129.630005,92.580002,94.480003,92.400002,93.639999,53.492367,53.950382,53.330154,53.625954,72.652328,73.073479,72.4552,72.5
69,34.184059,34.629982,34.127136,34.459202,130.089996,131.309998,129.860001,130.429993,93.709999,93.709999,92.07,92.120003,54.007633,54.57061,53.568703,54.14122,72.939072,73.252686,72.903229,72.974907
70,34.544594,34.629982,34.278938,34.459202,131.089996,131.419998,129.630005,130.619995,92.629997,92.639999,91.089996,91.830002,54.465649,54.704197,54.045803,54.551525,72.715057,72.822578,72.311829,72.616486
71,34.629982,34.848198,34.525616,34.658443,131.410004,132.880005,131.279999,131.759995,92.889999,93.489998,92.309998,92.599998,55.124046,56.536259,54.551525,55.963741,72.67025,73.028671,72.213264,72.732971
72,34.867172,34.895638,34.411766,34.468693,132.110001,132.199997,128.809998,130.539993,93.199997,94.010002,92.620003,93.589996,57.099236,57.213741,56.259541,56.555344,72.759857,73.449821,72.697136,73.279572
73,34.516129,34.71537,34.421253,34.620495,129.690002,129.899994,126.940002,127.720001,94.0,94.599998,93.019997,94.32,56.688931,56.889313,55.90649,56.221375,73.288528,73.351257,72.813622,73.207886
74,34.525616,34.810246,34.411766,34.658443,127.629997,128.270004,126.889999,127.550003,94.43,94.529999,91.400002,93.010002,56.221375,56.603054,55.744274,55.954197,71.469536,71.5233,70.618279,70.788528
75,34.629982,34.905125,34.601517,34.753323,128.0,128.300003,126.169998,126.660004,93.410004,93.800003,92.019997,92.599998,56.164124,56.555344,55.973282,56.135494,70.026878,70.107529,69.632614,69.784943
76,34.791271,35.0,34.724857,34.914612,126.879997,127.300003,125.779999,126.830002,92.93,93.800003,92.730003,93.169998,57.299618,57.84351,56.708015,57.490459,69.767029,69.847672,69.453407,69.53405
77,35.018974,35.360531,34.886147,35.161289,126.940002,127.459999,125.309998,126.190002,92.949997,93.480003,90.440002,91.360001,57.643131,58.206108,57.032444,57.337788,69.507172,69.560928,68.691757,68.987457
78,35.028461,35.142315,34.639469,34.800758,125.910004,126.849998,125.279999,126.760002,90.959999,92.279999,90.519997,91.870003,57.15649,57.175571,56.230915,56.898853,68.315414,68.60215,67.858421,68.4767
79,34.914612,35.199242,34.867172,34.962048,126.620003,129.220001,126.620003,128.009995,94.0,98.550003,93.580002,97.440002,57.080154,57.337788,56.402672,56.688931,68.996414,69.327957,68.94265,69.184586
80,34.895638,35.208729,34.819733,35.104362,127.730003,128.789993,127.5,128.270004,97.440002,99.349998,96.370003,98.730003,56.622135,56.917938,56.59351,56.746181,68.951614,69.399643,68.781364,69.23835
81,35.227703,35.275143,34.535103,34.734344,128.860001,128.979996,126.489998,126.489998,99.050003,99.419998,96.519997,96.550003,56.917938,57.232822,56.173664,56.173664,69.3638,69.569893,68.682793,68.718636
82,33.757114,34.203037,32.865276,33.586338,126.32,126.639999,124.970001,126.010002,102.099998,103.370003,101.18,102.07,56.29771,56.526718,54.274811,55.324429,68.440857,68.494621,68.01075,68.351257
83,33.368122,33.557877,32.960152,33.102467,125.519997,126.18,123.199997,123.5,101.169998,101.760002,99.959999,100.370003,55.03817,55.34351,54.408398,54.675571,68.64695,68.700714,67.885307,67.912186
84,33.036053,33.092979,32.656548,32.979126,123.300003,123.690002,121.279999,123.029999,100.199997,100.769997,98.769997,100.279999,54.5229,55.152672,53.78817,54.895039,68.575272,68.637993,68.01075,68.3871
85,32.789375,33.197342,32.609108,33.055027,122.599998,124.510002,121.800003,124.190002,99.900002,100.93,99.120003,100.169998,54.503819,55.257633,54.2271,55.104961,68.252686,68.879929,68.163078,68.718636
86,33.007591,33.33017,32.93169,33.140415,124.139999,125.239998,123.32,123.589996,100.75,101.269997,99.239998,99.629997,55.124046,55.438931,54.465649,54.751907,69.130821,69.417564,68.951614,69.077065
87,33.121441,33.292221,32.93169,33.187855,122.860001,123.489998,121.690002,122.610001,99.129997,99.779999,98.699997,99.400002,54.742367,54.790077,53.683205,54.160305,69.372757,69.507172,68.89785,69.121864
88,33.225807,33.595825,33.083492,33.368122,122.989998,124.050003,122.529999,123.510002,99.440002,102.040001,98.900002,101.18,54.360687,55.734734,54.2271,55.295803,68.826164,69.507172,68.718636,69.077065
89,33.206833,33.50095,33.102467,33.244781,124.220001,126.050003,124.0,125.349998,102.580002,103.809998,101.93,102.849998,55.467556,56.040077,55.276718,55.400764,69.157707,69.507172,68.55735,68.94265
90,33.33017,33.73814,33.273247,33.681213,125.769997,127.599998,125.760002,127.239998,103.459999,104.690002,102.040001,104.18,55.496181,57.223282,55.467556,56.956108,69.345879,69.623657,69.077065,69.48925
91,33.690701,34.079697,33.671726,34.02277,127.349998,127.610001,125.599998,126.059998,104.400002,106.300003,104.330002,105.889999,57.032444,57.328243,56.708015,56.946564,70.206093,70.403229,70.026878,70.188171
92,33.690701,33.946869,33.662239,33.861481,125.540001,125.830002,124.400002,125.129997,105.379997,105.559998,103.589996,104.18,56.717556,57.061069,56.20229,56.488548,69.758064,69.793907,69.345879,69.399643
93,33.899429,34.041744,33.747627,33.851994,125.440002,125.900002,125.0,125.349998,104.459999,105.650002,104.199997,105.040001,56.603054,57.261452,56.402672,57.013359,69.811829,69.937279,69.48925,69.53405
94,33.804554,33.946869,33.624287,33.880455,125.489998,125.589996,123.550003,123.849998,105.099998,105.410004,104.209999,105.32,56.812977,57.041985,56.183205,56.364506,69.19355,69.372757,68.969536,69.130821
95,33.78558,33.918407,33.614799,33.814041,123.779999,124.440002,123.279999,124.239998,105.269997,106.779999,105.110001,105.980003,56.259541,56.736641,54.856869,56.431297,69.336922,69.381721,68.915771,69.050179
96,33.880455,34.032257,33.700191,33.965843,124.620003,124.989998,123.32,123.720001,107.0,107.25,105.949997,106.230003,56.469467,56.603054,55.715649,55.887405,69.23835,69.417564,68.7724,68.808243
97,33.965843,34.240986,33.861481,33.889942,123.800003,124.239998,122.760002,122.910004,106.550003,107.239998,106.099998,106.230003,56.087788,56.431297,55.725189,55.7729,68.826164,69.265236,68.817207,68.85305
