Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,34.516129,34.648956,34.383301,34.573055,28.821976,17059833
2018-01-03,34.582542,34.886147,34.373814,34.829224,29.035524,14183151
2018-01-04,34.829224,35.028461,34.724857,34.905125,29.098797,13046517
2018-01-05,34.933586,34.990513,34.734344,34.971539,29.154171,13167517
2018-01-08,34.838711,34.914612,34.468693,34.582542,28.829882,19964341
2018-01-09,34.573055,34.762810,34.497154,34.544594,28.798246,16876226
2018-01-10,34.478176,34.734344,34.449715,34.601517,28.845695,18755825
2018-01-11,34.762810,34.819733,34.554081,34.686909,28.916889,15102555
2018-01-12,34.753323,34.914612,34.592030,34.667931,28.901060,20240700
2018-01-16,34.696396,35.085388,34.601517,34.724857,28.948517,30536699
2018-01-17,34.933586,35.455406,34.886147,35.275143,29.407269,25332363
2018-01-18,35.265656,35.265656,34.819733,35.094875,29.256990,19946528
2018-01-19,35.284630,35.370018,34.629982,35.047440,29.217443,31133684
2018-01-22,35.000000,35.170776,34.848198,35.037952,29.209534,21380495
2018-01-23,34.933586,35.180267,34.667931,34.933586,29.122526,18527212
2018-01-24,35.094875,35.170776,34.848198,35.037952,29.209534,18673191
2018-01-25,35.075901,35.426945,35.009487,35.322582,29.446823,18988232
2018-01-26,35.388992,37.087288,35.388992,37.011387,30.854689,51441419
2018-01-29,37.001900,37.409866,36.783680,37.020874,30.862602,36779014
2018-01-30,36.252373,36.764706,35.436432,35.863377,29.897652,48483684
2018-01-31,35.977230,36.043644,34.943073,35.142315,29.296535,35859926
2018-02-01,34.734344,35.483871,34.734344,34.943073,29.400303,29697926
2018-02-02,34.724857,35.341557,34.639469,34.734344,29.224695,25588907
2018-02-05,34.611008,34.819733,32.258064,32.893738,27.676048,42463657
2018-02-06,32.409866,33.662239,32.258064,33.472485,28.162992,56035067
2018-02-07,33.330170,33.823528,33.178368,33.187855,27.923510,30955980
2018-02-08,33.206833,33.368122,31.878557,31.907021,26.845846,45850792
2018-02-09,32.438332,32.666035,31.499050,32.409866,27.268929,49851776
2018-02-12,32.685009,33.083492,32.286530,32.884251,27.668062,38743670
2018-02-13,32.798862,33.235294,32.647060,33.149906,27.891577,21559570
2018-02-14,32.922199,33.529411,32.789375,33.387096,28.091146,24494749
2018-02-15,33.557877,33.899429,33.282730,33.880455,28.506250,22588379
2018-02-16,33.927895,34.781784,33.851994,34.402279,28.945305,27659595
2018-02-20,34.174572,34.620495,34.041744,34.165085,28.745731,27202370
2018-02-21,34.127136,34.715370,33.899429,33.927895,28.546167,25872327
2018-02-22,34.032257,34.297913,33.785580,33.908916,28.530190,23983454
2018-02-23,34.089184,34.440228,33.994308,34.402279,28.945305,17940029
2018-02-26,34.430740,35.303604,34.354839,35.189754,29.607864,25407302
2018-02-27,35.170776,35.332069,34.857685,34.914612,29.376368,23543093
2018-02-28,35.132828,35.370018,34.449715,34.449715,28.985212,28360927
2018-03-01,34.269451,34.411766,33.396584,33.804554,28.442390,30282896
2018-03-02,33.728653,34.222012,33.586338,34.108158,28.697834,22271336
2018-03-05,33.984821,34.421253,33.937382,34.269451,28.833544,22319609
2018-03-06,34.383301,34.383301,33.918407,34.041744,28.641958,18003479
2018-03-07,33.776093,34.231499,33.728653,34.089184,28.681868,23440328
2018-03-08,34.146111,34.629982,34.089184,34.629982,29.136889,21646630
2018-03-09,34.734344,35.028461,34.658443,34.886147,29.352415,19300743
2018-03-12,35.028461,35.104362,34.629982,34.734344,29.224695,26571656
2018-03-13,34.914612,35.066414,34.563568,34.867172,29.336454,29560695
2018-03-14,34.952560,35.094875,34.326378,34.487667,29.017145,23378458
2018-03-15,34.487667,34.924099,34.487667,34.705883,29.200747,20508310
2018-03-16,34.762810,35.142315,34.743832,34.895638,29.360401,34125253
2018-03-19,34.914612,34.914612,34.231499,34.468693,29.001173,20003761
2018-03-20,34.506641,34.677418,34.269451,34.468693,29.001173,20295824
2018-03-21,34.620495,34.848198,34.345352,34.411766,28.953285,19071392
2018-03-22,34.184059,34.288425,33.652752,33.776093,28.418444,22094686
2018-03-23,33.671726,33.681213,32.675522,32.722961,27.532364,29385731
2018-03-26,33.140415,33.349148,32.561668,33.244781,27.971407,24926468
2018-03-27,33.377609,33.738140,32.998100,33.216320,27.947454,28835227
2018-03-28,33.377609,33.975330,33.320683,33.491463,28.178963,26349684
2018-03-29,33.700191,33.842506,33.273247,33.671726,28.330629,24804731
2018-04-02,33.605312,33.908916,32.979126,33.254269,27.979393,28323299
2018-04-03,33.311195,33.908916,33.130932,33.851994,28.482304,21347927
2018-04-04,33.510437,34.373814,33.434536,34.278938,28.841530,22010682
2018-04-05,33.842506,34.155598,33.709679,33.899429,28.522219,25781789
2018-04-06,33.738140,34.032257,33.102467,33.368122,28.075188,22288200
